Group,trial_id,Type,Target_utterance,Target_sound,Target_sound_r,Condition,Counter,Past,Actual,Correct_Response,Dominant_hat,Second_hat,image1_f0,image1_f1,image1_f2,image1_f3,image1_f4,image1_f5,blanco1,sound1_1,sound1_2,image1_hat_stand_f0,image1_hat_stand_f1,image1_hat_stand_f2,image1_hat_stand_empty,image2_f0,image2_f1,image2_f2,image2_f3,image2_f4,image2_f5,blanco2,sound2_1,sound2_2,image2_hat_stand_f0,image2_hat_stand_f1,image2_hat_stand_f2,image2_hat_stand_empty,image3_f0,image3_f1,image3_f2,image3_f3,image3_f4,image3_f5,blanco3,sound3_1,sound3_2,image3_hat_stand_f0,image3_hat_stand_f1,image3_hat_stand_f2,image3_hat_stand_empty
1,c1,control,Look! That kippie has a chocolate coin!,control_circles.mp3,said_control_circles.mp3,control,Image1,Image2,Image3,image1_f5,heart,circle,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat_coin.png,past_no_hat.png,first_chose.mp3,happy_with_circle.mp3,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,kippie_heart_hat_past_f0.png,kippie_heart_hat_past_f1.png,kippie_heart_hat_past_f2.png,kippie_heart_hat_past_f3.png,kippie_heart_hat_past_f3.png,kippie_heart_hat_past_f3_coin.png,past_heart_hat.png,second_drinking.mp3,finished_hearts.mp3,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_heart_hat.png,kippie_heart_hat_coin.png,past_no_hat.png,third_kippie_also_want.mp3,pick_hearts.mp3,hat_stand_full.png,hat_stand_circle_star_f1.png,hat_stand_circle_star_f2.png,hat_stand_circle_star.png
1,c3,control,Look! That kippie has a strawberry coin!,control_hearts.mp3,said_control_hearts.mp3,control,Image3,Image1,Image2,image3_f5,circle,heart,kippie_circle_hat_past_f0.png,kippie_circle_hat_past_f1.png,kippie_circle_hat_past_f2.png,kippie_circle_hat_past_f3.png,kippie_circle_hat_past_f3.png,kippie_circle_hat_past_f3_coin.png,past_circle_hat.png,first_drinking.mp3,finished_circles.mp3,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_circle_hat.png,kippie_circle_hat_coin.png,past_no_hat.png,second_kippie_also_want.mp3,pick_circles.mp3,hat_stand_full.png,hat_stand_heart_star_f1.png,hat_stand_heart_star_f2.png,hat_stand_heart_star.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat_coin.png,past_no_hat.png,third_chose.mp3,happy_with_heart.mp3,hat_stand_heart_star.png,hat_stand_heart_star.png,hat_stand_heart_star.png,hat_stand_heart_star.png
1,t1,count,"If that kippie had a banana milkshake, he would give me a banana coin.",cf_cond_star.mp3,said_cf_cond_star.mp3,counterfactual_conditional,Image2,Image3,Image1,image2_f5,star,circle,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_star_hat.png,kippie_star_hat_coin.png,past_no_hat.png,first_kippie_also_want.mp3,pick_stars.mp3,hat_stand_full.png,hat_stand_circle_heart_f1.png,hat_stand_circle_heart_f2.png,hat_stand_circle_heart.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat_coin.png,past_no_hat.png,second_chose.mp3,happy_with_circle.mp3,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png,kippie_star_hat_past_f0.png,kippie_star_hat_past_f1.png,kippie_star_hat_past_f2.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3_coin.png,past_star_hat.png,third_drinking.mp3,finished_stars.mp3,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png
1,t2,count,"If that kippie had a banana milkshake, he would give me a banana coin.",cf_cond_star.mp3,said_cf_cond_star.mp3,counterfactual_conditional,Image3,Image1,Image2,image3_f5,star,heart,kippie_star_hat_past_f0.png,kippie_star_hat_past_f1.png,kippie_star_hat_past_f2.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3_coin.png,past_star_hat.png,first_drinking.mp3,finished_stars.mp3,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_star_hat.png,kippie_star_hat_coin.png,past_no_hat.png,second_kippie_also_want.mp3,pick_stars.mp3,hat_stand_full.png,hat_stand_circle_heart_f1.png,hat_stand_circle_heart_f2.png,hat_stand_circle_heart.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat_coin.png,past_no_hat.png,third_chose.mp3,happy_with_heart.mp3,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png
1,t4,count,"I wish that kippie had a banana milkshake, so he would give me a banana coin.",cf_wish_star.mp3,said_cf_wish_star.mp3,counterfactual_wish,Image3,Image2,Image1,image3_f5,star,circle,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_star_hat.png,kippie_star_hat_coin.png,past_no_hat.png,first_kippie_also_want.mp3,pick_stars.mp3,hat_stand_full.png,hat_stand_circle_heart_f1.png,hat_stand_circle_heart_f2.png,hat_stand_circle_heart.png,kippie_star_hat_past_f0.png,kippie_star_hat_past_f1.png,kippie_star_hat_past_f2.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3_coin.png,past_star_hat.png,second_drinking.mp3,finished_stars.mp3,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat_coin.png,past_no_hat.png,third_chose.mp3,happy_with_circle.mp3,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png
1,t5,count,"I wish that kippie had a banana milkshake, so he would give me a banana coin.",cf_wish_star.mp3,said_cf_wish_star.mp3,counterfactual_wish,Image1,Image3,Image2,image1_f5,star,heart,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat_coin.png,past_no_hat.png,third_chose.mp3,happy_with_heart.mp3,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_star_hat.png,kippie_star_hat_coin.png,past_no_hat.png,second_kippie_also_want.mp3,pick_stars.mp3,hat_stand_full.png,hat_stand_circle_heart_f1.png,hat_stand_circle_heart_f2.png,hat_stand_circle_heart.png,kippie_star_hat_past_f0.png,kippie_star_hat_past_f1.png,kippie_star_hat_past_f2.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3_coin.png,past_star_hat.png,third_drinking.mp3,finished_stars.mp3,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png
1,p1,pres,"That kippie has a banana milkshake, so he will give me a banana coin.",pres_cond_star.mp3,said_pres_cond_star.mp3,present_conditional,Image3,Image2,Image1,image1_f5,star,circle,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_star_hat.png,kippie_star_hat_coin.png,past_no_hat.png,first_kippie_also_want.mp3,pick_stars.mp3,hat_stand_full.png,hat_stand_circle_heart_f1.png,hat_stand_circle_heart_f2.png,hat_stand_circle_heart.png,kippie_star_hat_past_f0.png,kippie_star_hat_past_f1.png,kippie_star_hat_past_f2.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3_coin.png,past_star_hat.png,second_drinking.mp3,finished_stars.mp3,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat_coin.png,past_no_hat.png,third_chose.mp3,happy_with_circle.mp3,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png,hat_stand_circle_heart.png
1,p2,pres,"I see that kippie has a chocolate milkshake, so he will give me a chocolate coin.",pres_wish_circle.mp3,said_pres_wish_circle.mp3,present_wish,Image3,Image1,Image2,image2_f5,circle,heart,kippie_circle_hat_past_f0.png,kippie_circle_hat_past_f1.png,kippie_circle_hat_past_f2.png,kippie_circle_hat_past_f3.png,kippie_circle_hat_past_f3.png,kippie_circle_hat_past_f3_coin.png,past_circle_hat.png,first_drinking.mp3,finished_circles.mp3,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_circle_hat.png,kippie_circle_hat_coin.png,past_no_hat.png,second_kippie_also_want.mp3,pick_circles.mp3,hat_stand_full.png,hat_stand_heart_star_f1.png,hat_stand_heart_star_f2.png,hat_stand_heart_star.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat_coin.png,past_no_hat.png,third_chose.mp3,happy_with_heart.mp3,hat_stand_heart_star.png,hat_stand_heart_star.png,hat_stand_heart_star.png,hat_stand_heart_star.png
1,p3,past,"That kippie had a strawberry milkshake, so he will give me a strawberry coin.",past_cond_heart.mp3,said_past_cond_heart.mp3,past_conditional,Image2,Image3,Image1,image3_f5,heart,circle,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_heart_hat.png,kippie_heart_hat_coin.png,past_no_hat.png,first_kippie_also_want.mp3,pick_hearts.mp3,hat_stand_full.png,hat_stand_circle_star_f1.png,hat_stand_circle_star_f2.png,hat_stand_circle_star.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat.png,kippie_circle_hat_coin.png,past_no_hat.png,second_chose.mp3,happy_with_circle.mp3,hat_stand_circle_star.png,hat_stand_circle_star.png,hat_stand_circle_star.png,hat_stand_circle_star.png,kippie_heart_hat_past_f0.png,kippie_heart_hat_past_f1.png,kippie_heart_hat_past_f2.png,kippie_heart_hat_past_f3.png,kippie_heart_hat_past_f3.png,kippie_heart_hat_past_f3_coin.png,past_heart_hat.png,third_drinking.mp3,finished_hearts.mp3,hat_stand_circle_star.png,hat_stand_circle_star.png,hat_stand_circle_star.png,hat_stand_circle_star.png
1,p4,past,"I see that kippie had a banana milkshake, so he will give me a banana coin.",past_wish_star.mp3,said_past_wish_star.mp3,past_wish,Image1,Image2,Image3,image2_f5,star,heart,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat.png,kippie_heart_hat_coin.png,past_no_hat.png,first_chose.mp3,happy_with_heart.mp3,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,kippie_star_hat_past_f0.png,kippie_star_hat_past_f1.png,kippie_star_hat_past_f2.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3.png,kippie_star_hat_past_f3_coin.png,past_star_hat.png,second_drinking.mp3,finished_stars.mp3,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,hat_stand_full.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_no_hat.png,kippie_star_hat.png,kippie_star_hat_coin.png,past_no_hat.png,third_kippie_also_want.mp3,pick_stars.mp3,hat_stand_full.png,hat_stand_circle_heart_f1.png,hat_stand_circle_heart_f2.png,hat_stand_circle_heart.png